id,name,site,category,city,cms,libraries,antibot,status,created_at
17,Записаться к урологу в Москве - запись на платный прием к врачу ...,https://fnkc-fmba.ru,стоматология,Москва,bitrix,"[""xmlhttprequest"", ""bitrix_ajax"", ""jquery"", ""angular""]",,crawled,2026-05-27T09:33:36.798645+00:00
18,"Урологи Москвы: 2768 врачей, 7198 отзывов, цена приема от 750 руб ...",https://napopravku.ru,стоматология,Москва,,[],,crawled,2026-05-27T09:33:36.806917+00:00
19,"Уролог в Москве — запись онлайн, 14 клиник у метро | Медцентрсервис",https://medcentrservis.ru,стоматология,Москва,bitrix,"[""xmlhttprequest"", ""angular"", ""jquery"", ""recaptcha"", ""fetch_api""]",recaptcha,crawled,2026-05-27T09:33:36.815221+00:00
20,Клиника урологии им. И.М. Сеченова в Москве,https://urologiya.center,клиника,Москва,bitrix,"[""fetch_api"", ""xmlhttprequest"", ""jquery"", ""angular""]",,crawled,2026-05-27T09:33:36.821364+00:00
21,Уролог в Москве,https://invitro.ru,стоматология,Москва,joomla,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:33:36.827521+00:00
22,10 лучших урологических клиник в Москве,https://kp.ru,стоматология,Москва,,[],,crawled,2026-05-27T09:33:36.833448+00:00
23,"Урологи в Москве: 1669 врачей, 73806 отзывов",https://krasotaimedicina.ru,стоматология,Москва,bitrix,"[""angular"", ""jquery"", ""vue"", ""recaptcha""]",recaptcha,crawled,2026-05-27T09:33:36.839232+00:00
24,Московский урологический центр - официальный сайт ГБУЗ ММНКЦ им. С.П ...,https://botkinmoscow.ru,стоматология,Москва,bitrix,"[""xmlhttprequest"", ""jquery"", ""angular""]",,crawled,2026-05-27T09:33:40.698182+00:00
25,"Лучшие урологические центры Москва: топ-15, проверено в 2025 году",https://vc.ru,стоматология,Москва,bitrix,"[""react"", ""angular""]",,crawled,2026-05-27T09:33:40.706365+00:00
26,"Урологическая клиника им. Р. М. Фронштейна, запись на прием в Москве",https://urosechenov.ru,клиника,Москва,wordpress,"[""jquery"", ""angular"", ""wpcf7"", ""recaptcha""]",recaptcha,crawled,2026-05-27T09:33:40.714238+00:00
27,"Урологические клиники в Москве с адресами и ценами - 360 урологов, 358 ...",https://mosurolog.ru,стоматология,Москва,bitrix,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:33:40.720556+00:00
28,Урология в Москве | Диагностика и лечение у лучших специалистов,https://uro-mos.ru,урология,Москва,,[],,crawled,2026-05-27T09:33:40.726463+00:00
29,Клиника урологии им. И.М. Сеченова,https://uro-msk.ru,клиника,Москва,tilda,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:33:40.732917+00:00
30,НИИ урологии и интервенционной радиологии им. Н.А. Лопаткина - филиал ...,https://new.nmicr.ru,стоматология,Москва,wordpress,"[""jquery"", ""angular"", ""wpcf7""]",,crawled,2026-05-27T09:33:40.738830+00:00
31,Официальный сайт клиники урологии Сеченовского университета. Институт ...,https://uro-andro.ru,стоматология,Москва,joomla,"[""jquery"", ""angular"", ""recaptcha""]",recaptcha,crawled,2026-05-27T09:33:40.744994+00:00
32,Клиника урологии имени И.М. Сеченова - Урология имени И.М. Сеченова в ...,https://endo-urologia.ru,клиника,Москва,,[],,crawled,2026-05-27T09:33:40.751194+00:00
33,"Неврологи Москвы - 5395 врачей, 43026 отзывов - запись к неврологу",https://docdoc.ru,стоматология,Москва,,[],,crawled,2026-05-27T09:33:44.755367+00:00
34,"Центр неврологии в Москве, крупнейшая неврологическая клиника",https://med.neurology.ru,клиника,Москва,bitrix,"[""jquery"", ""angular"", ""recaptcha""]",recaptcha,crawled,2026-05-27T09:33:44.764422+00:00
35,"Неврологическая больница в Москве НЕЙРОСПАС - центр эпилепсии, аутизма ...",https://neurospas.ru,стоматология,Москва,bitrix,"[""axios"", ""angular"", ""jquery"", ""vue"", ""recaptcha""]","kaspersky,cloudflare,recaptcha",crawled,2026-05-27T09:33:44.772603+00:00
36,Записаться к неврологу в Москве: цены на услуги врача | Клиника «Ваш ...,https://vashdr.ru,клиника,Москва,bitrix,"[""xmlhttprequest"", ""angular"", ""jquery"", ""vue"", ""bitrix_ajax""]","cloudflare,recaptcha",crawled,2026-05-27T09:33:44.778921+00:00
37,Консультация врача невролога в Москве | Записывайтесь на консультацию ...,https://pn-center.ru,стоматология,Москва,,[],,crawled,2026-05-27T09:33:44.785167+00:00
38,"Лучшие неврологи Москвы - ТОП 10 Лучших Клиник неврологии, Рейтинг ...",https://nevrolog-mos.ru,стоматология,Москва,joomla,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:33:48.677097+00:00
39,Центр ортопедии и неврологии в Москве,https://premiumzdravclinic.ru,стоматология,Москва,tilda,"[""xmlhttprequest"", ""jquery"", ""angular"", ""react""]",,crawled,2026-05-27T09:33:48.685607+00:00
40,Невролог в Москве: записаться на прием и консультацию к врачу-неврологу ...,https://lit-clinic.ru,стоматология,Москва,bitrix,"[""xmlhttprequest"", ""angular"", ""recaptcha""]",recaptcha,crawled,2026-05-27T09:33:48.693328+00:00
41,Запись На Прием К Неврологу В Москве - Цена В Медицинском Центре Tens,https://tensclinic.ru,стоматология,Москва,bitrix,"[""xmlhttprequest"", ""angular"", ""jquery"", ""vue"", ""recaptcha""]",recaptcha,crawled,2026-05-27T09:33:48.699819+00:00
42,Неврология в Москве: цены на платные услуги неврологии - записаться в ...,https://begma.ru,неврология,Москва,wordpress,"[""xmlhttprequest"", ""wpcf7"", ""angular"", ""jquery"", ""recaptcha""]","cloudflare,recaptcha",crawled,2026-05-27T09:33:48.705982+00:00
43,Российский центр неврологии и нейронаук. Официальный сайт. Запись на ...,https://neurology.ru,стоматология,Москва,bitrix,"[""xmlhttprequest"", ""jquery"", ""vue"", ""angular""]",,crawled,2026-05-27T09:33:52.572885+00:00
44,"Неврологи в Москве: цены, отзывы, запись на приём - Ист Клиника",https://eastclinic.ru,клиника,Москва,,"[""angular"", ""react"", ""vue"", ""recaptcha""]",recaptcha,crawled,2026-05-27T09:33:52.582138+00:00
45,Медицинский центр неврологии и ортопедии «ЗдравКлиник»,https://zdravclinic.ru,медицинский центр,Москва,joomla,"[""xmlhttprequest"", ""jquery"", ""angular"", ""recaptcha""]",recaptcha,crawled,2026-05-27T09:33:52.590419+00:00
46,"Неврологическое отделение в Москве - цены на услуги неврологии, запись ...",https://cmrt.ru,стоматология,Москва,,"[""fetch_api"", ""angular""]",,crawled,2026-05-27T09:33:52.598252+00:00
47,Неврология В Москве - Записаться На Прием — «Uniклиник»,https://uniclinic.ru,неврология,Москва,wordpress,"[""jquery"", ""angular"", ""wpcf7""]",,crawled,2026-05-27T09:33:52.605099+00:00
48,Неврологические центры в Москве - запись на прием в клиники неврологии ...,https://infodoctor.ru,стоматология,Москва,,"[""angular""]",,crawled,2026-05-27T09:33:52.611067+00:00
49,Консультативно-диагностический центр им. Г.Н. Габричевского,https://gabrich.com,диагностический центр,Москва,,[],,crawled,2026-05-27T09:34:26.943201+00:00
50,Диагностический центр №3,https://dc3.mos.ru,диагностический центр,Москва,,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:34:26.951370+00:00
51,Медицинский центр диагностики заболеваний и гинекологии Хеликс в Москве,https://dckom.ru,медицинский центр,Москва,drupal,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:34:26.959224+00:00
52,Консультативно-диагностический центр «Измайловский»,https://pirogov-center.ru,диагностический центр,Москва,,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:34:26.966160+00:00
53,Главная - Федеральное государственное бюджетное учреждение «52 ...,https://52kdc.ru,стоматология,Москва,wordpress,[],,crawled,2026-05-27T09:34:26.972696+00:00
54,Медико-диагностический центр «Олимп» в Москве - официальный сайт клиники,https://olimp-vip.ru,диагностический центр,Москва,bitrix,"[""bitrix_ajax"", ""jquery"", ""angular"", ""react""]","cloudflare,recaptcha",crawled,2026-05-27T09:34:26.978910+00:00
55,"Научный Центр ""ЭФиС"". Клиническая лабораторная диагностика - быстро ...",https://efis.ru,стоматология,Москва,drupal,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:34:26.985223+00:00
56,Диагностика организма в Москве,https://meds.ru,стоматология,Москва,,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:34:30.886278+00:00
57,Медицинский диагностический центр - клинико-диагностическое отделение ...,https://moscowclinic.ru,диагностический центр,Москва,bitrix,"[""xmlhttprequest"", ""angular"", ""jquery"", ""vue"", ""recaptcha""]",recaptcha,crawled,2026-05-27T09:34:30.894498+00:00
58,Лечебно-диагностический центр Новомед в Москве - все виды анализов и ...,https://diagnozcentr.ru,диагностический центр,Москва,bitrix,"[""xmlhttprequest"", ""jquery"", ""vue"", ""angular""]",,crawled,2026-05-27T09:34:30.902344+00:00
59,Диагностические центры Москвы | 165,https://medadvisor.ru,стоматология,Москва,,"[""angular""]",,crawled,2026-05-27T09:34:30.908382+00:00
60,Медицинский диагностический центр «ПроСвет» в Москве,https://prosvet.msk.ru,диагностический центр,Москва,tilda,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:34:34.771534+00:00
61,Медицинский диагностический центр Специальный МДЦ-С в Москве ...,https://mdcs.ru,диагностический центр,Москва,bitrix,"[""xmlhttprequest"", ""wpcf7"", ""angular"", ""jquery"", ""vue"", ""recaptcha""]","cloudflare,recaptcha",crawled,2026-05-27T09:34:34.780534+00:00
62,Диагностический центр № 3 г. Москвы,https://дц3.рф,диагностический центр,Москва,,[],,crawled,2026-05-27T09:34:34.788272+00:00
63,Приемно-диагностический центр - ГБУЗ г. Москвы ГКБ №67 им. Л.А ...,https://67gkb.ru,диагностический центр,Москва,wordpress,"[""jquery"", ""angular"", ""wpcf7""]",,crawled,2026-05-27T09:34:34.794483+00:00
64,ГБУЗ «КДЦ № 6 ДЗМ» - Официальный сайт ГБУЗ «Консультативно ...,https://kdc6.ru,стоматология,Москва,bitrix,"[""angular"", ""jquery"", ""vue""]",,crawled,2026-05-27T09:34:34.800772+00:00
65,МКНЦ им. А.С.Логинова,https://mknc.ru,стоматология,Москва,,[],,crawled,2026-05-27T09:34:34.806626+00:00
66,Официальный сайт Мэра Москвы,https://dc5.mos.ru,стоматология,Москва,bitrix,"[""xmlhttprequest"", ""jquery"", ""angular""]",,crawled,2026-05-27T09:34:38.708165+00:00
67,"ДКЦ №1: Диагностический клинический центр №1 ДЗМ, официальный сайт",https://дкц1.рф,стоматология,Москва,bitrix,"[""jquery"", ""angular""]",cloudflare,crawled,2026-05-27T09:34:38.716698+00:00
68,Центр диагностики и телемедицины - Медицинская радиология - Обучение ...,https://telemedai.ru,стоматология,Москва,bitrix,"[""fetch_api"", ""xmlhttprequest"", ""angular""]",,crawled,2026-05-27T09:34:38.724514+00:00
69,Dcli - Мнпцли,https://dcli.ru,стоматология,Москва,bitrix,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:34:38.730387+00:00
70,Диагностический центр № 5 - ДЗМ,https://mosgorzdrav.ru,диагностический центр,Москва,,"[""jquery"", ""angular"", ""recaptcha""]","cloudflare,recaptcha",crawled,2026-05-27T09:34:38.736329+00:00
71,«Клиника Здоровья» — сеть медицинских диагностических центров в Москве,https://zdorovie-klinika.ru,клиника,Москва,,[],,crawled,2026-05-27T09:34:38.742467+00:00
72,"Медицинский Центр диагностики, профилактики и лечения ЭндоМедЛаб на ...",https://medcentr-endomedlab.ru,медицинский центр,Москва,,"[""angular""]",,crawled,2026-05-27T09:34:38.748514+00:00
73,Сдать анализы в Москве | Низкие цены | Медицинская лаборатория ЛИТЕХ,https://analyz24.ru,стоматология,Москва,bitrix,"[""xmlhttprequest"", ""angular"", ""jquery"", ""recaptcha"", ""bitrix_ajax""]",recaptcha,crawled,2026-05-27T09:34:46.145752+00:00
74,Сдать анализы дома в Москве - бесплатный выезд медсестры,https://scan-health.ru,стоматология,Москва,,"[""angular""]",,crawled,2026-05-27T09:34:46.155699+00:00
75,Анализы на дому в Гемотест в Москве. Выезд бесплатно | Сдать анализ ...,https://gemotest.ru,стоматология,Москва,,[],,crawled,2026-05-27T09:34:46.163134+00:00
76,Cmd - Анализы Экспертного Уровня. Медицинская Лаборатория +7 495 153 2742,https://cmd-online.ru,стоматология,Москва,bitrix,"[""xmlhttprequest"", ""react"", ""angular"", ""jquery"", ""vue"", ""fetch_api""]",,crawled,2026-05-27T09:34:46.169255+00:00
77,Сдать анализы в Москве в Лаборатории ДНКОМ,https://dnkom.ru,стоматология,Москва,,[],,crawled,2026-05-27T09:34:46.175224+00:00
78,Lab4u (Лаб4ю) — Медицинские Анализы И Лаборатории,https://laboratorii.ru,стоматология,Москва,wordpress,"[""jquery"", ""recaptcha""]",recaptcha,crawled,2026-05-27T09:34:46.181549+00:00
79,СИТИЛАБ. Международная сеть клинико-диагностических лабораторий,https://citilab.ru,стоматология,Москва,,[],,crawled,2026-05-27T09:34:46.187425+00:00
80,Сдать Анализы | Медицинская Лаборатория Kdl,https://kdl.ru,стоматология,Москва,,"[""xmlhttprequest"", ""jquery"", ""angular""]","cloudflare,recaptcha",crawled,2026-05-27T09:34:46.193890+00:00
81,10 лучших лабораторий анализов в Москве - рейтинг 2026,https://markakachestva.ru,стоматология,Москва,,[],,crawled,2026-05-27T09:34:50.055969+00:00
82,"Анализы в Москве — сдать кровь, мочу, ПЦР и другие тесты | Первый Медцентр",https://1medcenter.ru,стоматология,Москва,joomla,"[""react"", ""angular"", ""recaptcha""]",recaptcha,crawled,2026-05-27T09:34:50.064732+00:00
83,Анализы в Москве - сдать лабораторные анализы платно,https://aleksclinic.ru,стоматология,Москва,bitrix,"[""xmlhttprequest"", ""vue"", ""angular""]",,crawled,2026-05-27T09:34:50.072713+00:00
84,Записаться на сдачу анализов в поликлинике теперь можно через mos.ru,https://mos.ru,стоматология,Москва,,"[""angular"", ""react"", ""vue""]",,crawled,2026-05-27T09:34:50.078852+00:00
85,Сдать анализы в Москве срочно Прием платных анализов недорого в СитиМед,https://medcentr-sitimed.ru,стоматология,Москва,wordpress,"[""xmlhttprequest"", ""jquery"", ""angular"", ""wpcf7""]",,crawled,2026-05-27T09:34:50.084977+00:00
